in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.09,0.92,0.34,0,0.69,0,0,0,0.63,0,0,0,0.5,0,0,0,0.09,0.53,0.4,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.87,1.7,10.98,0,Frame_00000.png
0.41,0.96,0.1,0,0.65,0,0,0,0.3,0,0,0,0.42,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.9,0.5,12.49,1,Frame_00001.png
0.25,0.95,0.1,0,0.07,0,0,0,0.19,0,0,0,0.92,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.91,0.5,12.49,2,Frame_00002.png
0.95,0,0,0,0.2,0.87,0.9,0,0.96,0,0,0,0.64,0,0,0,0.44,0.79,0.44,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.79,1.44,10.77,3,Frame_00003.png
0.11,0.57,0.62,0,0.67,0,0,0,0.81,0,0,0,0.63,0,0,0,0.41,0.17,0.29,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.69,1.45,11.53,4,Frame_00004.png
0.05,0.93,0.01,0,0.2,0.61,0.27,0,0.34,0,0,0,0.89,0,0,0,0.22,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.69,0.05,12.96,5,Frame_00005.png
0.95,0,0,0,0.2,0.5,0.94,0,0.59,0.31,0.05,0,0.77,0,0,0,0.58,0,0,0,0.4,0.55,0.92,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,2.14,11.58,0.25,9.65,6,Frame_00006.png
0.22,0.88,0.16,0,0.72,0,0,0,0.75,0,0,0,0.39,0.13,-0.01,0,0.02,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,3,11.81,0.05,12.96,7,Frame_00007.png
0.12,0.46,0.4,0,0.69,0,0,0,0.87,0,0,0,0.19,0.32,-0.04,0,0.07,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.2,0,0,3,11.69,0.2,12.96,8,Frame_00008.png
0.22,0.46,0.26,0,0.21,0.81,-0.03,0,0.38,0,0,0,0.48,0,0,0,0.86,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.6,0,0,3,11.69,0.15,12.96,9,Frame_00009.png
0.1,0.44,0.07,0,0.71,0,0,0,0.1,0.18,-0.04,0,0.01,0.05,-0.02,0,0.54,0,0,0,0.76,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.2,0,0,3,11.8,0.1,13.06,10,Frame_00010.png
0.23,0.22,0.64,0,1,0,0,0,0.33,0.29,-0.12,0,0.89,0,0,0,0.35,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,3,11.69,0.6,12.96,11,Frame_00011.png
0.37,0.45,-0.03,0,0.22,0,0,0,0.49,0,0,0,0.21,0.94,-0.11,0,0.76,0.28,0.41,0,0.54,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.8,0,0,2.11,11.86,0.15,11.06,12,Frame_00012.png
0.14,0.32,-0.1,0,0.07,0.38,0.08,0,0.37,0,0,0,0.47,0,0,0,0.29,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,2.2,11.69,0.4,12.96,13,Frame_00013.png
